%time,imgError_x,imgError_y,field.desx_c,field.desy_c,field.x0,field.y0,field.x1,field.y1,field.x2,field.y2,field.x3,field.y3,field.desx0,field.desy0,field.desx1,field.desy1,field.desx2,field.desy2,field.desx3,field.desy3,field.z_est
1503329557978413124,359.537109375,45.3728561401,320.0,180.0,312.418212891,1.79737854004,414.463867188,11.5641937256,304.911499023,78.6103439331,406.354888916,89.5195083618,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.820864379406
1503329558015772287,355.05670166,46.4491195679,320.0,180.0,308.022644043,2.88613891602,410.163726807,12.3804016113,300.119476318,80.4480361938,401.920837402,90.0818939209,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.819353818893
1503329558040274356,353.739654541,47.9326553345,320.0,180.0,306.494750977,4.4027557373,408.839630127,14.396774292,298.916412354,81.0522079468,400.707885742,91.8788909912,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.820439100266
1503329558102205407,344.078491211,50.7549057007,320.0,180.0,296.616943359,6.70434570312,399.078857422,17.2717895508,289.242218018,84.9122619629,391.375915527,94.1312255859,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.816498875618
1503329558144663716,337.921447754,52.4815826416,320.0,180.0,290.422302246,8.79515075684,392.81427002,19.3217163086,283.117462158,85.418548584,385.331787109,96.3909225464,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.817724525928
1503329558209713148,334.140228271,52.2683830261,320.0,180.0,286.549224854,8.52249145508,389.299804688,18.7612915039,279.20803833,85.1711578369,381.503936768,96.6185913086,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.813694596291
1503329559087518510,360.00692749,95.9736938477,320.0,180.0,313.331085205,54.7604598999,412.39855957,62.2863388062,307.861633301,129.883087158,406.43637085,136.964889526,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.83464294672
1503329559111294859,359.078674316,103.502693176,320.0,180.0,312.545623779,62.2101135254,411.45098877,70.1189880371,307.012634277,136.847167969,405.305480957,144.834503174,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.836987793446
1503329559175115785,357.879974365,118.409614563,320.0,180.0,311.621612549,77.8582229614,409.927856445,84.629776001,305.937072754,152.766723633,404.033325195,158.383728027,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.842243850231
1503329559220911059,357.900939941,126.04801178,320.0,180.0,311.625854492,85.7459335327,409.807403564,92.3699569702,306.20413208,160.089614868,403.966369629,165.986541748,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.8455555439
1503329559280338660,357.785095215,142.139572144,320.0,180.0,311.766021729,102.081710815,409.071746826,108.33253479,306.634338379,176.233978271,403.668273926,181.910049438,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.852701663971
1503329559310120501,357.175628662,143.638641357,320.0,180.0,311.04284668,103.342628479,408.459472656,110.118247986,306.145507812,177.928756714,403.0546875,183.164901733,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.853570461273
1503329559372349148,356.114562988,159.875366211,320.0,180.0,310.002532959,120.119766235,407.246459961,126.05960083,305.460876465,193.93560791,401.748321533,199.386505127,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.858864068985
1503329559416042864,355.317321777,169.185150146,320.0,180.0,309.143798828,129.771118164,406.263671875,135.567855835,304.974212646,203.328613281,400.887542725,208.073028564,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.863629043102
1503329559496351080,352.951721191,196.915908813,320.0,180.0,307.383361816,158.473449707,402.966644287,163.285415649,303.414886475,230.877655029,398.042053223,235.027160645,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.877764225006
1503329559537126917,351.956787109,207.383499146,320.0,180.0,306.474761963,168.936416626,401.818145752,174.205810547,302.566802979,240.946243286,396.967346191,245.445556641,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.881204247475
1503329559578560253,347.169250488,233.524078369,320.0,180.0,302.154663086,195.462112427,396.26940918,200.540649414,298.300964355,267.138824463,391.95199585,270.954711914,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.890155792236
1503329559615436401,345.852233887,243.556900024,320.0,180.0,301.012359619,205.764175415,394.764160156,210.310592651,297.276367188,277.248321533,390.356140137,280.90447998,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.892515838146
1503329559660488734,339.958374023,270.767913818,320.0,180.0,295.381866455,233.261550903,388.449035645,237.747253418,291.744354248,304.352874756,384.258209229,307.709991455,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.897704362869
1503329559705224814,336.282104492,282.250823975,320.0,180.0,291.939025879,245.157806396,384.679046631,249.254272461,288.148071289,315.717773438,380.362243652,318.873443604,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.900384187698
1503329565678694901,121.714416504,277.425720215,320.0,180.0,81.1348571777,237.751296997,171.230224609,249.356781006,71.8037261963,305.844116211,162.688827515,316.750701904,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.931465029716
1503329565734480114,92.3433380127,268.997070312,320.0,180.0,51.5948486328,229.26512146,142.228515625,240.761276245,42.0218505859,297.305145264,133.528121948,308.656768799,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.930624365807
1503329565763823035,80.3795471191,263.073425293,320.0,180.0,39.9113769531,223.179595947,130.017745972,234.887435913,30.0672912598,291.44543457,121.521774292,302.781311035,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.932318687439
1503329565844287088,58.0744018555,248.205169678,320.0,180.0,18.3605041504,208.526077271,107.719665527,220.718795776,7.50372314453,276.069122314,98.7137145996,287.50668335,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.936997413635
1503329565874004069,47.6915435791,237.934753418,320.0,180.0,8.02563476562,198.669769287,97.1482849121,210.798583984,-2.57467651367,265.543273926,88.1669311523,276.727416992,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.940783441067
1503329572242394326,124.307312012,35.798614502,320.0,180.0,87.9684753418,-3.24746704102,171.205657959,12.1773681641,76.9351959229,59.7533340454,161.119949341,74.5112228394,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,1.01991975307
1503329572253804041,129.064285278,52.6648025513,320.0,180.0,92.8294372559,13.4934387207,176.095596313,28.9587097168,81.6151123047,76.5299530029,165.71697998,91.677116394,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,1.01683592796
1503329572276684359,131.207199097,61.3019866943,320.0,180.0,94.696975708,21.8026885986,178.594329834,38.0182647705,83.488494873,85.271697998,168.048965454,100.115287781,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,1.01231992245
1503329572453264951,147.479522705,72.8069610596,320.0,180.0,111.203796387,32.9771728516,194.694549561,48.9773864746,99.9579925537,96.7653884888,184.061737061,112.507904053,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,1.00265741348
1503329572466501862,149.596878052,80.9671020508,320.0,180.0,113.393966675,41.52784729,196.850891113,57.0601043701,101.827697754,105.096511841,186.314926147,120.183952332,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,1.00216162205
1503329572479170756,148.379730225,96.8421020508,320.0,180.0,111.979675293,57.5996551514,195.942871094,72.4872970581,100.310928345,121.20741272,185.285446167,136.074035645,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.996104180813
1503329572498021302,146.510803223,105.212287903,320.0,180.0,109.743011475,65.9014511108,194.158905029,80.7655792236,98.5088348389,129.862091064,183.632415771,144.320037842,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.991981863976
1503329572555721232,140.059753418,122.233032227,320.0,180.0,102.727416992,82.5474853516,188.137252808,97.2906570435,91.5757598877,147.394958496,177.798553467,161.699020386,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.976794958115
1503329572583817230,138.483215332,126.372634888,320.0,180.0,100.90852356,86.8143768311,186.594116211,101.139694214,90.0003662109,151.912231445,176.429885864,165.624252319,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.974057674408
1503329572688725964,131.300567627,142.081237793,320.0,180.0,93.1180267334,102.479125977,179.628387451,116.521736145,82.8182373047,167.501708984,169.637619019,181.822372437,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.965480148792
1503329572700401267,124.473899841,149.548828125,320.0,180.0,86.4153900146,109.798110962,172.846908569,123.737586975,75.5745391846,175.702362061,163.058746338,188.957244873,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.962784171104
1503329572734173052,115.809158325,159.763366699,320.0,180.0,76.9540863037,120.517112732,164.423538208,133.393707275,66.7469024658,185.939590454,155.112106323,199.203063965,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.956672549248
1503329572778283424,110.890419006,163.679931641,320.0,180.0,71.9270477295,124.4688797,159.464614868,137.14289856,61.9734802246,190.148391724,150.196533203,202.959533691,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.957523226738
1503329572839579154,99.5389709473,176.672409058,320.0,180.0,60.1031188965,137.107727051,148.180480957,149.80430603,50.5486755371,203.953598022,139.32359314,215.823974609,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.953015565872
1503329572871015867,96.6118240356,176.996887207,320.0,180.0,57.3844909668,138.141860962,144.935180664,150.487045288,47.5641174316,203.92829895,136.56350708,215.430389404,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.96075963974
1503329572942020602,94.3005828857,185.728424072,320.0,180.0,54.7881469727,146.736831665,142.452835083,158.696411133,45.8420715332,213.307662964,134.119262695,224.17276001,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.957480072975
1503329572977273508,89.3412322998,195.591094971,320.0,180.0,49.9174194336,157.353790283,137.016220093,168.563323975,41.1379394531,222.62600708,129.29335022,233.821289062,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.960595726967
1503329573038319696,79.9496231079,207.127716064,320.0,180.0,40.6071777344,169.430023193,127.255218506,179.38659668,31.9024658203,234.922164917,120.033630371,244.772079468,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.95552021265
1503329573066097562,74.4440536499,211.82131958,320.0,180.0,34.851776123,174.236740112,121.5987854,184.059432983,26.7032165527,239.550689697,114.622436523,249.438430786,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,0.952778398991
1503329577696872684,171.850891113,280.073364258,320.0,180.0,127.412231445,254.396408081,208.799728394,245.351760864,134.941986084,315.431762695,216.249572754,305.113464355,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,1.01786053181
1503329577726343118,188.897842407,270.848815918,320.0,180.0,144.562789917,245.221435547,225.695281982,236.457977295,152.098251343,305.925872803,233.235046387,295.790008545,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,1.01895987988
1503329577774066803,197.411422729,266.287231445,320.0,180.0,153.05291748,241.164657593,234.247497559,231.67956543,160.566085815,301.173675537,241.779174805,291.130950928,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,1.01692736149
1503329577840615751,208.46723938,260.185516357,320.0,180.0,164.562698364,234.93170166,244.864898682,225.7862854,172.057800293,295.332336426,252.383560181,284.691772461,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,1.02325534821
1503329577866157954,213.313034058,253.497756958,320.0,180.0,169.63583374,228.354507446,249.38230896,219.475341797,177.140365601,288.344787598,257.09362793,277.81640625,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,1.0303838253
1503329577923896946,229.021606445,242.294036865,320.0,180.0,185.96673584,217.52734375,264.765563965,208.919387817,193.432647705,276.61328125,271.921539307,266.116119385,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,1.04866623878
1503329577966116102,235.395278931,235.761932373,320.0,180.0,192.664245605,211.218551636,270.742523193,202.61227417,200.275222778,270.090515137,277.899108887,259.126434326,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,1.05937790871
1503329578014624301,252.475646973,225.773193359,320.0,180.0,210.457351685,201.574798584,287.28527832,193.103530884,217.892471313,259.159637451,294.26751709,249.25479126,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,1.08079779148
1503329578058127223,259.671295166,219.272521973,320.0,180.0,218.220321655,195.456466675,294.136199951,186.983383179,225.365646362,251.878555298,300.963043213,242.77166748,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,1.09687674046
1503329578118341962,277.603790283,206.144744873,320.0,180.0,236.866210938,183.006668091,311.507598877,174.21762085,243.776123047,238.549758911,318.265289307,228.804946899,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,1.11908721924
1503329578149016790,286.280303955,199.278320312,320.0,180.0,246.126617432,175.971740723,319.999145508,167.250106812,252.406463623,231.508880615,326.58895874,222.382598877,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,1.12487459183
1503329578212278254,303.925323486,184.710571289,320.0,180.0,264.404083252,161.853317261,337.204528809,153.899963379,270.583099365,215.881958008,343.509490967,207.207000732,280.0,152.0,360.0,152.0,280.0,208.0,360.0,208.0,1.15193450451
