%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1503329552326034909,0.0,1.0,0.0,0.0,0.0,0.0
1503329552426021495,0.0,1.0,0.0,0.0,0.0,0.0
1503329552525986531,0.0,1.0,0.0,0.0,0.0,0.0
1503329552626038412,0.0,1.0,0.0,0.0,0.0,0.0
1503329552726087658,0.0,1.0,0.0,0.0,0.0,0.0
1503329552826111846,0.0,1.0,0.0,0.0,0.0,0.0
1503329552926002332,0.0,1.0,0.0,0.0,0.0,0.0
1503329555626037947,0.0,-1.0,0.0,0.0,0.0,0.0
1503329555726046133,0.0,-1.0,0.0,0.0,0.0,0.0
1503329555826005596,0.0,-1.0,0.0,0.0,0.0,0.0
1503329556925942721,0.0,1.0,0.0,0.0,0.0,0.0
1503329558225918116,1.0,0.0,0.0,0.0,0.0,0.0
1503329559426017024,-1.0,0.0,0.0,0.0,0.0,0.0
1503329561025921942,0.0,-1.0,0.0,0.0,0.0,0.0
1503329561325974222,-1.0,0.0,0.0,0.0,0.0,0.0
1503329561426013780,-1.0,0.0,0.0,0.0,0.0,0.0
1503329562625979890,0.0,-1.0,0.0,0.0,0.0,0.0
1503329562726044015,0.0,-1.0,0.0,0.0,0.0,0.0
1503329565725970879,0.0,1.0,0.0,0.0,0.0,0.0
1503329565825985509,0.0,1.0,0.0,0.0,0.0,0.0
1503329565925979749,0.0,1.0,0.0,0.0,0.0,0.0
1503329567126231691,0.0,-1.0,0.0,0.0,0.0,0.0
1503329567726054162,0.0,1.0,0.0,0.0,0.0,0.0
1503329567826091821,0.0,1.0,0.0,0.0,0.0,0.0
1503329567926036614,0.0,1.0,0.0,0.0,0.0,0.0
1503329568926046144,1.0,0.0,0.0,0.0,0.0,0.0
1503329569026051515,1.0,0.0,0.0,0.0,0.0,0.0
1503329569826044362,0.0,-1.0,0.0,0.0,0.0,0.0
1503329570426007541,0.0,1.0,0.0,0.0,0.0,0.0
1503329571626056761,0.0,-1.0,0.0,0.0,0.0,0.0
1503329572326078865,0.0,1.0,0.0,0.0,0.0,0.0
1503329575126096254,-1.0,0.0,0.0,0.0,0.0,0.0
1503329575225987787,-1.0,0.0,0.0,0.0,0.0,0.0
1503329576026043627,0.0,1.0,0.0,0.0,0.0,0.0
1503329583826053427,0.0,1.0,0.0,0.0,0.0,0.0
1503329583925954500,0.0,1.0,0.0,0.0,0.0,0.0
1503329584726022629,0.0,-1.0,0.0,0.0,0.0,0.0
1503329584826047928,0.0,-1.0,0.0,0.0,0.0,0.0
1503329585826072360,0.0,1.0,0.0,0.0,0.0,0.0
1503329594526186681,0.0,1.0,0.0,0.0,0.0,0.0
1503329594625952093,0.0,1.0,0.0,0.0,0.0,0.0
1503329594726143012,0.0,1.0,0.0,0.0,0.0,0.0
1503329596625981020,0.0,-1.0,0.0,0.0,0.0,0.0
1503329596725954524,1.0,0.0,0.0,0.0,0.0,0.0
1503329597326030989,-1.0,0.0,0.0,0.0,0.0,0.0
1503329597426026864,-1.0,0.0,0.0,0.0,0.0,0.0
