%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1503329551725832924,0.0,0.0,0.0,0.0,0.0,0.0
1503329551825963493,0.0,0.0,0.0,0.0,0.0,0.0
1503329551925920497,0.0,0.0,0.0,0.0,0.0,0.0
1503329552025883074,0.0,0.0,0.0,0.0,0.0,0.0
1503329552125785359,0.0,0.0,0.0,0.0,0.0,0.0
1503329552225815073,0.0,0.0,0.0,0.0,0.0,0.0
1503329552325790517,0.0,1.0,0.0,0.0,0.0,0.0
1503329552425788352,0.0,1.0,0.0,0.0,0.0,0.0
1503329552525781870,0.0,1.0,0.0,0.0,0.0,0.0
1503329552625811019,0.0,1.0,0.0,0.0,0.0,0.0
1503329552725822613,0.0,1.0,0.0,0.0,0.0,0.0
1503329552825880522,0.0,1.0,0.0,0.0,0.0,0.0
1503329552925828631,0.0,1.0,0.0,0.0,0.0,0.0
1503329553025798413,0.0,0.0,0.0,0.0,0.0,0.0
1503329553125828360,0.0,0.0,0.0,0.0,0.0,0.0
1503329553225811676,0.0,0.0,0.0,0.0,0.0,0.0
1503329553325938371,0.0,0.0,0.0,0.0,0.0,0.0
1503329553425845702,0.0,0.0,0.0,0.0,0.0,0.0
1503329553525999713,0.0,0.0,0.0,0.0,0.0,0.0
1503329553625919262,0.0,0.0,0.0,0.0,0.0,0.0
1503329553725804025,0.0,0.0,0.0,0.0,0.0,0.0
1503329553825860319,0.0,0.0,0.0,0.0,0.0,0.0
1503329553925883201,0.0,0.0,0.0,0.0,0.0,0.0
1503329554025847977,0.0,0.0,0.0,0.0,0.0,0.0
1503329554125832613,0.0,0.0,0.0,0.0,0.0,0.0
1503329554225853550,0.0,0.0,0.0,0.0,0.0,0.0
1503329554325835329,0.0,0.0,0.0,0.0,0.0,0.0
1503329554425819039,0.0,0.0,0.0,0.0,0.0,0.0
1503329554525835969,0.0,0.0,0.0,0.0,0.0,0.0
1503329554625817683,0.0,0.0,0.0,0.0,0.0,0.0
1503329554725890862,0.0,0.0,0.0,0.0,0.0,0.0
1503329554825826023,0.0,0.0,0.0,0.0,0.0,0.0
1503329554925849959,0.0,0.0,0.0,0.0,0.0,0.0
1503329555025854158,0.0,0.0,0.0,0.0,0.0,0.0
1503329555125936004,0.0,0.0,0.0,0.0,0.0,0.0
1503329555226044903,0.0,0.0,0.0,0.0,0.0,0.0
1503329555325834715,0.0,0.0,0.0,0.0,0.0,0.0
1503329555425837442,0.0,0.0,0.0,0.0,0.0,0.0
1503329555525848687,0.0,0.0,0.0,0.0,0.0,0.0
1503329555625840306,0.0,-1.0,0.0,0.0,0.0,0.0
1503329555725849211,0.0,-1.0,0.0,0.0,0.0,0.0
1503329555825834636,0.0,-1.0,0.0,0.0,0.0,0.0
1503329555925840888,0.0,0.0,0.0,0.0,0.0,0.0
1503329556025809625,0.0,0.0,0.0,0.0,0.0,0.0
1503329556125953813,0.0,0.0,0.0,0.0,0.0,0.0
1503329556225822556,0.0,0.0,0.0,0.0,0.0,0.0
1503329556325870014,0.0,0.0,0.0,0.0,0.0,0.0
1503329556425831910,0.0,0.0,0.0,0.0,0.0,0.0
1503329556525918679,0.0,0.0,0.0,0.0,0.0,0.0
1503329556626017274,0.0,0.0,0.0,0.0,0.0,0.0
1503329556725860526,0.0,0.0,0.0,0.0,0.0,0.0
1503329556825810570,0.0,0.0,0.0,0.0,0.0,0.0
1503329556925764679,0.0,1.0,0.0,0.0,0.0,0.0
1503329557025793048,0.0,0.0,0.0,0.0,0.0,0.0
1503329557125768164,0.0,0.0,0.0,0.0,0.0,0.0
1503329557225831213,0.0,0.0,0.0,0.0,0.0,0.0
1503329557325775097,0.0,0.0,0.0,0.0,0.0,0.0
1503329557425810841,0.0,0.0,0.0,0.0,0.0,0.0
1503329557525815909,0.0,0.0,0.0,0.0,0.0,0.0
1503329557625875977,0.0,0.0,0.0,0.0,0.0,0.0
1503329557725876481,0.0,0.0,0.0,0.0,0.0,0.0
1503329557825789739,0.0,0.0,0.0,0.0,0.0,0.0
1503329557925773531,0.0,0.0,0.0,0.0,0.0,0.0
1503329558025855112,0.0,0.0,0.0,0.0,0.0,0.0
1503329558125809877,0.0,0.0,0.0,0.0,0.0,0.0
1503329558225907849,1.0,0.0,0.0,0.0,0.0,0.0
1503329558325788000,0.0,0.0,0.0,0.0,0.0,0.0
1503329558425790182,0.0,0.0,0.0,0.0,0.0,0.0
1503329558525787939,0.0,0.0,0.0,0.0,0.0,0.0
1503329558625789609,0.0,0.0,0.0,0.0,0.0,0.0
1503329558725798456,0.0,0.0,0.0,0.0,0.0,0.0
1503329558825808673,0.0,0.0,0.0,0.0,0.0,0.0
1503329558925875065,0.0,0.0,0.0,0.0,0.0,0.0
1503329559025771452,0.0,0.0,0.0,0.0,0.0,0.0
1503329559125819324,0.0,0.0,0.0,0.0,0.0,0.0
1503329559225832038,0.0,0.0,0.0,0.0,0.0,0.0
1503329559325827851,0.0,0.0,0.0,0.0,0.0,0.0
1503329559425840431,-1.0,0.0,0.0,0.0,0.0,0.0
1503329559526045265,0.0,0.0,0.0,0.0,0.0,0.0
1503329559625867136,0.0,0.0,0.0,0.0,0.0,0.0
1503329559725858173,0.0,0.0,0.0,0.0,0.0,0.0
1503329559825801530,0.0,0.0,0.0,0.0,0.0,0.0
1503329559925959880,0.0,0.0,0.0,0.0,0.0,0.0
1503329560025839701,0.0,0.0,0.0,0.0,0.0,0.0
1503329560125833435,0.0,0.0,0.0,0.0,0.0,0.0
1503329560225842465,0.0,0.0,0.0,0.0,0.0,0.0
1503329560325848827,0.0,0.0,0.0,0.0,0.0,0.0
1503329560425840545,0.0,0.0,0.0,0.0,0.0,0.0
1503329560525875486,0.0,0.0,0.0,0.0,0.0,0.0
1503329560625844676,0.0,0.0,0.0,0.0,0.0,0.0
1503329560725813181,0.0,0.0,0.0,0.0,0.0,0.0
1503329560825778851,0.0,0.0,0.0,0.0,0.0,0.0
1503329560925926783,0.0,0.0,0.0,0.0,0.0,0.0
1503329561025769303,0.0,-1.0,0.0,0.0,0.0,0.0
1503329561125949973,0.0,0.0,0.0,0.0,0.0,0.0
1503329561225810741,0.0,0.0,0.0,0.0,0.0,0.0
1503329561325803326,-1.0,0.0,0.0,0.0,0.0,0.0
1503329561425835707,-1.0,0.0,0.0,0.0,0.0,0.0
1503329561525812266,0.0,0.0,0.0,0.0,0.0,0.0
1503329561625820198,0.0,0.0,0.0,0.0,0.0,0.0
1503329561725943173,0.0,0.0,0.0,0.0,0.0,0.0
1503329561825838987,0.0,0.0,0.0,0.0,0.0,0.0
1503329561925852764,0.0,0.0,0.0,0.0,0.0,0.0
1503329562025874611,0.0,0.0,0.0,0.0,0.0,0.0
1503329562125798149,0.0,0.0,0.0,0.0,0.0,0.0
1503329562225807976,0.0,0.0,0.0,0.0,0.0,0.0
1503329562325789065,0.0,0.0,0.0,0.0,0.0,0.0
1503329562425951037,0.0,0.0,0.0,0.0,0.0,0.0
1503329562526038875,0.0,0.0,0.0,0.0,0.0,0.0
1503329562625834646,0.0,-1.0,0.0,0.0,0.0,0.0
1503329562725806602,0.0,-1.0,0.0,0.0,0.0,0.0
1503329562825847782,0.0,0.0,0.0,0.0,0.0,0.0
1503329562925934975,0.0,0.0,0.0,0.0,0.0,0.0
1503329563025858633,0.0,0.0,0.0,0.0,0.0,0.0
1503329563125847018,0.0,0.0,0.0,0.0,0.0,0.0
1503329563225754818,0.0,0.0,0.0,0.0,0.0,0.0
1503329563325816261,0.0,0.0,0.0,0.0,0.0,0.0
1503329563425897374,0.0,0.0,0.0,0.0,0.0,0.0
1503329563525871440,0.0,0.0,0.0,0.0,0.0,0.0
1503329563625807860,0.0,0.0,0.0,0.0,0.0,0.0
1503329563725835681,0.0,0.0,0.0,0.0,0.0,0.0
1503329563825829362,0.0,0.0,0.0,0.0,0.0,0.0
1503329563925849053,0.0,0.0,0.0,0.0,0.0,0.0
1503329564025839853,0.0,0.0,0.0,0.0,0.0,0.0
1503329564125933175,0.0,0.0,0.0,0.0,0.0,0.0
1503329564225851787,0.0,0.0,0.0,0.0,0.0,0.0
1503329564325806750,0.0,0.0,0.0,0.0,0.0,0.0
1503329564425885175,0.0,0.0,0.0,0.0,0.0,0.0
1503329564525823628,0.0,0.0,0.0,0.0,0.0,0.0
1503329564625792658,0.0,0.0,0.0,0.0,0.0,0.0
1503329564725834683,0.0,0.0,0.0,0.0,0.0,0.0
1503329564825839199,0.0,0.0,0.0,0.0,0.0,0.0
1503329564925779012,0.0,0.0,0.0,0.0,0.0,0.0
1503329565025773859,0.0,0.0,0.0,0.0,0.0,0.0
1503329565125778433,0.0,0.0,0.0,0.0,0.0,0.0
1503329565225799655,0.0,0.0,0.0,0.0,0.0,0.0
1503329565325833785,0.0,0.0,0.0,0.0,0.0,0.0
1503329565425873504,0.0,0.0,0.0,0.0,0.0,0.0
1503329565525772719,0.0,0.0,0.0,0.0,0.0,0.0
1503329565625782404,0.0,0.0,0.0,0.0,0.0,0.0
1503329565725897935,0.0,1.0,0.0,0.0,0.0,0.0
1503329565825847559,0.0,1.0,0.0,0.0,0.0,0.0
1503329565925838359,0.0,1.0,0.0,0.0,0.0,0.0
1503329566025868459,0.0,0.0,0.0,0.0,0.0,0.0
1503329566125779339,0.0,0.0,0.0,0.0,0.0,0.0
1503329566225850056,0.0,0.0,0.0,0.0,0.0,0.0
1503329566325839076,0.0,0.0,0.0,0.0,0.0,0.0
1503329566425833403,0.0,0.0,0.0,0.0,0.0,0.0
1503329566525853647,0.0,0.0,0.0,0.0,0.0,0.0
1503329566625898148,0.0,0.0,0.0,0.0,0.0,0.0
1503329566725810700,0.0,0.0,0.0,0.0,0.0,0.0
1503329566825856271,0.0,0.0,0.0,0.0,0.0,0.0
1503329566925856567,0.0,0.0,0.0,0.0,0.0,0.0
1503329567025982837,0.0,0.0,0.0,0.0,0.0,0.0
1503329567125965910,0.0,-1.0,0.0,0.0,0.0,0.0
1503329567225844946,0.0,0.0,0.0,0.0,0.0,0.0
1503329567325894342,0.0,0.0,0.0,0.0,0.0,0.0
1503329567425847043,0.0,0.0,0.0,0.0,0.0,0.0
1503329567525833077,0.0,0.0,0.0,0.0,0.0,0.0
1503329567625867276,0.0,0.0,0.0,0.0,0.0,0.0
1503329567725790161,0.0,1.0,0.0,0.0,0.0,0.0
1503329567825865471,0.0,1.0,0.0,0.0,0.0,0.0
1503329567925841868,0.0,1.0,0.0,0.0,0.0,0.0
1503329568025909553,0.0,0.0,0.0,0.0,0.0,0.0
1503329568125932706,0.0,0.0,0.0,0.0,0.0,0.0
1503329568225832622,0.0,0.0,0.0,0.0,0.0,0.0
1503329568325855865,0.0,0.0,0.0,0.0,0.0,0.0
1503329568425841431,0.0,0.0,0.0,0.0,0.0,0.0
1503329568525834755,0.0,0.0,0.0,0.0,0.0,0.0
1503329568625857749,0.0,0.0,0.0,0.0,0.0,0.0
1503329568725856501,0.0,0.0,0.0,0.0,0.0,0.0
