%time,field.data
1503174264451118297,-1
1503174264550959881,-1
1503174264651065633,-1
1503174265351034414,-1
1503174265551082014,-1
1503174265651056325,-1
1503174265751269470,-1
1503174266051092373,-1
1503174266151131929,-1
1503174266850994977,-1
1503174267650998214,-1
1503174267750991405,-1
1503174267851028829,-1
1503174267951026137,-1
1503174268251092075,-1
1503174268351023767,-1
1503174268851034196,-1
1503174269151047335,-1
1503174269251203504,-1
1503174269351094332,-1
1503174269551113487,-1
1503174269951058829,-1
1503174270250986899,-1
1503174270350940357,-1
1503174270551103494,-1
1503174270651017345,-1
1503174272765437316,2
1503174273321420809,1
1503174276251061903,-1
1503174276351067417,-1
1503174276551075358,-1
1503174276651091901,-1
1503174277451123925,-1
1503174277551003180,-1
1503174277650974463,-1
1503174277750987920,-1
1503174279751111841,-1
1503174279851045348,-1
1503174279951072302,-1
1503174280051048863,-1
1503174280382118347,2
1503174280923418016,1
1503174281050993866,-1
1503174281151006342,-1
1503174281198572044,2
1503174281649935560,1
1503174282651113172,-1
1503174282751006266,-1
1503174283851116692,-1
1503174284452842262,2
1503174290835334975,1
1503174293021594132,2
1503174298998241434,1
1503174301352139724,2
1503174302299928107,1
1503174304451283595,-1
1503174304551074178,-1
1503174305151062234,-1
1503174305751033433,-1
1503174305851491711,-1
1503174306750989045,-1
1503174306828156398,2
1503174307850954860,-1
1503174307950984135,-1
1503174308051045547,-1
1503174308056816865,1
1503174308151002062,-1
1503174308851120016,-1
1503174308950991417,-1
1503174309650995000,-1
1503174310550993218,-1
1503174311251104171,-1
1503174311551146510,-1
1503174313051043770,-1
1503174313596885772,2
1503174313650919095,-1
1503174313750922267,-1
1503174314177492426,1
1503174314948721609,2
1503174316754338519,1
1503174317562111067,2
1503174319198490366,1
1503174320006558527,2
1503174323954273576,1
