%time,field.header.seq,field.header.stamp,field.header.frame_id,field.batteryPercent,field.state,field.magX,field.magY,field.magZ,field.pressure,field.temp,field.wind_speed,field.wind_angle,field.wind_comp_angle,field.rotX,field.rotY,field.rotZ,field.altd,field.vx,field.vy,field.vz,field.ax,field.ay,field.az,field.motor1,field.motor2,field.motor3,field.motor4,field.tags_count,field.tags_type0,field.tags_xc0,field.tags_yc0,field.tags_width0,field.tags_height0,field.tags_orientation0,field.tags_distance0,field.tm
1505402118923142178,16879,1505402118922936673,ardrone_base_link,71.0,0,-12,-16,-20,98905,486,0.0,0.0,0.0,-0.254999995232,-2.58299994469,-129.856002808,0,0.0,-0.0,-0.0,0.0189113710076,0.0114879347384,0.942074239254,0,0,0,0,1,131072,406,545,62,83,267.796936035,213.0,1449389824.0
1505402118927526153,16880,1505402118927203943,ardrone_base_link,71.0,0,-12,-16,-20,98905,486,0.0,0.0,0.0,-0.254999995232,-2.58400011063,-129.856002808,0,0.0,-0.0,-0.0,0.0188663266599,0.0115108676255,0.942636728287,0,0,0,0,1,131072,406,545,62,83,267.796936035,213.0,1449394944.0
1505402118932124099,16881,1505402118931898772,ardrone_base_link,71.0,0,-9,-17,-21,98895,486,0.0,0.0,0.0,-0.254999995232,-2.58400011063,-129.854995728,0,0.0,-0.0,-0.0,0.0189342852682,0.0115555655211,0.94456833601,0,0,0,0,1,131072,406,545,62,83,267.796936035,213.0,1449399808.0
1505402118937126010,16882,1505402118936968437,ardrone_base_link,71.0,0,-9,-17,-21,98895,486,0.0,0.0,0.0,-0.254000008106,-2.58400011063,-129.854003906,0,0.0,-0.0,-0.0,0.0189752783626,0.0116200782359,0.947532236576,0,0,0,0,1,131072,406,545,62,83,267.796936035,213.0,1449404672.0
1505402118943394828,16883,1505402118942996351,ardrone_base_link,71.0,0,-11,-13,-21,98898,486,0.0,0.0,0.0,-0.254000008106,-2.58400011063,-129.852996826,0,0.0,-0.0,-0.0,0.0189542155713,0.0116672217846,0.949549794197,0,0,0,0,1,131072,406,545,62,83,267.796936035,213.0,1449409792.0
1505402118946976065,16884,1505402118946796853,ardrone_base_link,71.0,0,-11,-13,-21,98895,486,0.0,0.0,0.0,-0.254000008106,-2.58400011063,-129.852996826,0,0.0,-0.0,-0.0,0.0190079323947,0.0116465128958,0.948051273823,0,0,0,0,1,131072,396,541,59,79,267.98046875,224.0,1449414784.0
1505402118952130436,16885,1505402118951919703,ardrone_base_link,71.0,0,-14,-16,-22,98908,486,0.0,0.0,0.0,-0.254000008106,-2.58500003815,-129.852005005,0,0.0,-0.0,-0.0,0.0190044138581,0.011622515507,0.94716745615,0,0,0,0,1,131072,396,541,59,79,267.98046875,224.0,1449419776.0
1505402118958450613,16886,1505402118958289762,ardrone_base_link,71.0,0,-14,-16,-22,98911,486,0.0,0.0,0.0,-0.254000008106,-2.58500003815,-129.850997925,0,0.0,-0.0,-0.0,0.0190266482532,0.0115978298709,0.946609854698,0,0,0,0,1,131072,396,541,59,79,267.98046875,224.0,1449424896.0
1505402118962546748,16887,1505402118962289091,ardrone_base_link,71.0,0,-7,-13,-21,98902,486,0.0,0.0,0.0,-0.254000008106,-2.58500003815,-129.850997925,0,0.0,-0.0,-0.0,0.0190272852778,0.0115927057341,0.946934580803,0,0,0,0,1,131072,396,541,59,79,267.98046875,224.0,1449430016.0
1505402118968744510,16888,1505402118968482722,ardrone_base_link,71.0,0,-7,-13,-21,98892,486,0.0,0.0,0.0,-0.252999991179,-2.58599996567,-129.850006104,0,0.0,-0.0,-0.0,0.018986010924,0.0116109019145,0.948049783707,0,0,0,0,1,131072,396,541,59,79,267.98046875,224.0,1449435264.0
