%time,field.data
1505402120244413025,0.0
1505402123210156054,1.0
1505402126311320150,0.0
1505402129860648285,1.0
1505402133116503574,0.0
1505402135505077121,1.0
1505402138662002457,0.0
1505402142613255903,1.0
1505402143357022231,0.0
1505402143392263131,1.0
1505402146067673234,0.0
1505402147700178784,1.0
1505402150339899553,0.0
1505402150375792921,1.0
1505402151035988948,0.0
1505402155429680563,1.0
1505402155783980942,0.0
1505402155813414839,1.0
1505402156045093455,0.0
1505402156110196208,1.0
1505402161024399422,0.0
1505402161071991492,1.0
1505402162565523270,0.0
1505402162594578441,1.0
1505402163346147597,0.0
