%time,field.data
1505403121433063041,1.0
1505403121623318450,0.0
1505403121982880364,1.0
1505403122016605868,0.0
1505403124072256144,1.0
1505403124102565432,0.0
1505403124133879398,1.0
1505403124167697225,0.0
1505403124233097675,1.0
1505403124263378072,0.0
1505403124393897108,1.0
1505403124429170937,0.0
1505403131252320226,1.0
1505403131379423399,0.0
1505403131407621670,1.0
1505403131497260306,0.0
1505403134835408625,1.0
1505403134865273031,0.0
1505403134895398595,1.0
1505403134926674227,0.0
1505403134961378368,1.0
1505403135014075604,0.0
1505403135080351638,1.0
1505403135157015387,0.0
1505403135187021509,1.0
1505403135223749799,0.0
1505403135257455368,1.0
1505403135840682534,0.0
1505403135905803039,1.0
1505403136285922784,0.0
1505403137296302828,1.0
1505403137735570936,0.0
1505403137776702286,1.0
1505403138059964494,0.0
1505403138096394164,1.0
1505403139334539159,0.0
1505403139394977258,1.0
1505403139590440262,0.0
1505403139656198393,1.0
1505403141354911140,0.0
1505403141386271092,1.0
1505403141416772202,0.0
1505403141451141024,1.0
1505403142425811083,0.0
1505403142461345648,1.0
1505403143370990420,0.0
1505403148970465190,1.0
1505403149630107179,0.0
1505403150614769744,1.0
1505403150905330015,0.0
1505403151227488504,1.0
1505403153466957971,0.0
1505403153513846210,1.0
1505403153902529850,0.0
1505403153962985459,1.0
1505403155696088593,0.0
1505403155726495497,1.0
1505403156288039083,0.0
1505403156346168536,1.0
1505403156380733134,0.0
1505403156446494623,1.0
1505403156600662561,0.0
1505403156671361907,1.0
1505403156739469709,0.0
1505403156836918481,1.0
1505403156872221485,0.0
1505403156897508381,1.0
1505403156956744285,0.0
1505403157037899129,1.0
1505403158206122909,0.0
1505403158269596298,1.0
1505403158656635591,0.0
1505403158697116980,1.0
1505403158822390234,0.0
1505403158850066150,1.0
1505403159185619050,0.0
1505403159191215177,1.0
1505403159445202192,0.0
1505403159481137042,1.0
1505403160360461239,0.0
1505403160391001988,1.0
1505403160592132681,0.0
1505403160621887608,1.0
1505403161662584725,0.0
1505403161723037055,1.0
1505403161959144314,0.0
1505403161989393798,1.0
1505403162196439712,0.0
1505403162215859575,1.0
1505403162250800525,0.0
1505403162378177379,1.0
1505403162405127466,0.0
1505403162510774823,1.0
1505403162596327747,0.0
1505403162632958405,1.0
1505403163065229360,0.0
1505403163095350168,1.0
1505403163848998267,0.0
1505403163867502039,1.0
1505403164010265742,0.0
1505403164045111808,1.0
1505403165284908794,0.0
1505403165350872872,1.0
1505403170466064583,0.0
1505403170499788747,1.0
1505403171278649911,0.0
1505403171314124944,1.0
1505403173792127707,0.0
1505403173821961130,1.0
1505403174575390654,0.0
1505403174593919623,1.0
1505403175491062260,0.0
1505403175521178432,1.0
1505403176922058161,0.0
1505403179336559437,1.0
1505403181291962462,0.0
1505403181322042228,1.0
1505403183054346895,0.0
1505403183120263346,1.0
1505403184580758368,0.0
1505403184615003944,1.0
1505403184946560604,0.0
1505403184972153412,1.0
1505403185336537474,0.0
1505403185363788637,1.0
1505403188469095849,0.0
1505403188486050333,1.0
1505403192049504705,0.0
1505403192080027939,1.0
1505403192834474164,0.0
1505403193421766154,1.0
1505403195435521396,0.0
1505403196743978172,1.0
1505403198337700297,0.0
