%time,field.data
1505403907796636095,0.0
1505403907849616389,1.0
1505403908599228601,0.0
1505403908644057730,1.0
1505403908874775445,0.0
1505403908933288936,1.0
1505403908990793391,0.0
1505403909075667698,1.0
1505403909140036139,0.0
1505403909264920315,1.0
1505403909331466648,0.0
1505403909390603379,1.0
1505403909422114877,0.0
1505403909468517539,1.0
1505403909494235272,0.0
1505403909622000741,1.0
1505403909783916395,0.0
1505403909808344208,1.0
1505403909883208194,0.0
1505403909913332917,1.0
1505403909948604585,0.0
1505403909978833885,1.0
1505403910006030714,0.0
1505403910080988078,1.0
1505403910442846279,0.0
1505403910477469799,1.0
1505403910551243187,0.0
1505403910573128592,1.0
1505403910627694788,0.0
1505403910663642343,1.0
1505403910732953771,0.0
1505403910924748214,1.0
1505403910984637701,0.0
1505403911024409613,1.0
1505403911139672137,0.0
1505403911190513350,1.0
1505403911215168370,0.0
1505403911277315463,1.0
1505403911318279207,0.0
1505403911354746658,1.0
1505403911381790656,0.0
1505403911417996785,1.0
1505403911453988932,0.0
1505403911513391005,1.0
1505403911556138717,0.0
1505403911577608414,1.0
1505403911619611946,0.0
1505403911709161438,1.0
1505403911872777538,0.0
1505403911906099559,1.0
1505403912556996886,0.0
1505403912623469865,1.0
1505403912819407931,0.0
1505403912950202946,1.0
1505403912972675684,0.0
1505403913078427231,1.0
1505403913140350012,0.0
1505403913242877700,1.0
1505403913276986832,0.0
1505403913307258023,1.0
1505403913474054545,0.0
1505403913534388365,1.0
1505403913629002217,0.0
1505403913664446014,1.0
1505403913699247123,0.0
1505403913729504178,1.0
1505403913764410231,0.0
1505403913795013877,1.0
1505403913829943551,0.0
1505403914121869967,1.0
1505403915171522732,0.0
1505403915185611986,1.0
1505403915234517381,0.0
1505403915291793557,1.0
1505403915328333147,0.0
1505403915351084313,1.0
1505403915524410266,0.0
1505403915625168304,1.0
1505403915655152192,0.0
1505403915685431684,1.0
1505403915830470860,0.0
1505403915852235248,1.0
1505403915911700297,0.0
1505403915977420242,1.0
1505403917384899987,0.0
1505403917414913676,1.0
1505403917676648874,0.0
1505403919144614344,1.0
1505403919603388675,0.0
1505403919738639846,1.0
1505403919792974900,0.0
1505403919828111232,1.0
1505403919959072433,0.0
1505403919984271219,1.0
