%time,field.data
1505419081200012257,1.0
1505419081330420987,0.0
1505419081752206102,1.0
1505419081782116768,0.0
1505419081817528723,1.0
1505419081887704347,0.0
1505419083097103619,1.0
1505419083183822228,0.0
1505419083498881744,1.0
1505419084274857049,0.0
1505419085019534792,1.0
1505419085054389873,0.0
1505419085225162623,1.0
1505419085363254658,0.0
1505419085479433271,1.0
1505419085542540042,0.0
1505419087109940135,1.0
1505419087368354979,0.0
1505419087569204830,1.0
1505419088442631637,0.0
1505419090565498243,1.0
1505419090680994404,0.0
1505419090721197118,1.0
1505419090922577689,0.0
1505419091895735199,1.0
1505419091925859194,0.0
1505419091996145436,1.0
1505419092026387791,0.0
1505419092051464156,1.0
1505419092096467904,0.0
1505419092116785904,1.0
1505419092156767465,0.0
1505419092447846681,1.0
1505419092486532226,0.0
1505419093240808877,1.0
1505419093406812778,0.0
1505419093441985901,1.0
1505419094348835960,0.0
1505419094376108118,1.0
1505419094506425456,0.0
1505419096526652421,1.0
1505419096785568904,0.0
1505419097655925513,1.0
1505419097771819317,0.0
1505419097798404913,1.0
1505419097852698990,0.0
1505419097893905760,1.0
1505419097963966201,0.0
1505419099005200943,1.0
1505419099040578882,0.0
1505419099756889571,1.0
1505419099926592034,0.0
1505419100064998411,1.0
1505419100506595833,0.0
1505419104155245591,1.0
1505419104190568049,0.0
1505419104217566698,1.0
1505419104844974021,0.0
1505419105161159718,1.0
1505419105192595924,0.0
1505419106075533477,1.0
1505419106236078508,0.0
1505419106269792057,1.0
1505419106305614179,0.0
1505419106717233540,1.0
1505419106787290888,0.0
1505419106817542508,1.0
1505419107325811866,0.0
1505419107618987505,1.0
1505419107772219343,0.0
1505419109082391095,1.0
1505419109111104638,0.0
1505419109308093612,1.0
1505419109435493300,0.0
1505419109598130491,1.0
1505419109637032798,0.0
1505419109670780830,1.0
1505419109834715086,0.0
1505419110679996493,1.0
1505419110838769598,0.0
1505419110903330273,1.0
1505419110936816575,0.0
1505419111003636812,1.0
1505419111011195077,0.0
1505419111838977511,1.0
1505419111859363297,0.0
1505419111881997906,1.0
1505419112212858859,0.0
1505419112244098664,1.0
1505419112309186960,0.0
1505419112333803500,1.0
1505419112438647671,0.0
1505419112471923409,1.0
1505419112528891882,0.0
1505419112567459318,1.0
1505419113370829066,0.0
1505419113517800989,1.0
1505419113613169007,0.0
1505419113633433716,1.0
1505419113671061242,0.0
1505419113708389484,1.0
1505419113808882438,0.0
1505419114301952375,1.0
1505419115299805380,0.0
1505419117441334491,1.0
1505419117533221120,0.0
1505419117650145371,1.0
1505419117774190356,0.0
