%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1505429379369837405,-0.0761589258909,0.0,0.0,0.0,0.0,0.0
1505429379379774726,-0.074967391789,0.0,0.0,0.0,0.0,0.0
1505429379389795089,-0.0737739801407,0.0,0.0,0.0,0.0,0.0
1505429379399809275,-0.072578728199,0.0,0.0,0.0,0.0,0.0
1505429379409825039,-0.0713816657662,0.0,0.0,0.0,0.0,0.0
1505429379419766683,-0.0701828151941,0.0,0.0,0.0,0.0,0.0
1505429379429842060,-0.068982206285,0.0,0.0,0.0,0.0,0.0
1505429379439819123,-0.0677798762918,0.0,0.0,0.0,0.0,0.0
1505429379449776859,-0.0665758550167,0.0,0.0,0.0,0.0,0.0
1505429379459798035,-0.0653701648116,0.0,0.0,0.0,0.0,0.0
1505429379469778789,-0.0641628429294,0.0,0.0,0.0,0.0,0.0
1505429379479793861,-0.0629539191723,0.0,0.0,0.0,0.0,0.0
1505429379489762494,-0.0617434158921,0.0,0.0,0.0,0.0,0.0
1505429379500045907,-0.0605313703418,0.0,0.0,0.0,0.0,0.0
1505429379509785577,-0.0593178123236,0.0,0.0,0.0,0.0,0.0
1505429379519751795,-0.0581027716398,0.0,0.0,0.0,0.0,0.0
1505429379529820627,-0.0568862780929,0.0,0.0,0.0,0.0,0.0
1505429379539777869,-0.0556683652103,0.0,0.0,0.0,0.0,0.0
1505429379549845222,-0.0544490553439,0.0,0.0,0.0,0.0,0.0
1505429379559769367,-0.0532283894718,0.0,0.0,0.0,0.0,0.0
1505429379569969330,-0.0520063899457,0.0,0.0,0.0,0.0,0.0
1505429379580013478,-0.0507830902934,0.0,0.0,0.0,0.0,0.0
1505429379589781453,-0.0495585203171,0.0,0.0,0.0,0.0,0.0
1505429379599803179,-0.0483327135444,0.0,0.0,0.0,0.0,0.0
1505429379609834426,-0.0471056960523,0.0,0.0,0.0,0.0,0.0
1505429379619802410,-0.0458775050938,0.0,0.0,0.0,0.0,0.0
1505429379629830422,-0.0446481630206,0.0,0.0,0.0,0.0,0.0
1505429379639878077,-0.0434177070856,0.0,0.0,0.0,0.0,0.0
1505429379649883097,-0.0421861633658,0.0,0.0,0.0,0.0,0.0
1505429379659812978,-0.0409535653889,0.0,0.0,0.0,0.0,0.0
1505429379669799858,-0.0397199466825,0.0,0.0,0.0,0.0,0.0
1505429379679773967,-0.0384853333235,0.0,0.0,0.0,0.0,0.0
1505429379689775973,-0.0372497551143,0.0,0.0,0.0,0.0,0.0
1505429379700009420,-0.0360132493079,0.0,0.0,0.0,0.0,0.0
1505429379709808032,-0.0347758419812,0.0,0.0,0.0,0.0,0.0
1505429379719828301,-0.0335375666618,0.0,0.0,0.0,0.0,0.0
1505429379729820416,-0.0322984494269,0.0,0.0,0.0,0.0,0.0
1505429379740573158,-0.0310585275292,0.0,0.0,0.0,0.0,0.0
1505429379749815544,-0.0298178270459,0.0,0.0,0.0,0.0,0.0
1505429379759783123,-0.0285763833672,0.0,0.0,0.0,0.0,0.0
1505429379769802588,-0.0273342244327,0.0,0.0,0.0,0.0,0.0
1505429379779792581,-0.0260913819075,0.0,0.0,0.0,0.0,0.0
1505429379789928568,-0.0248478874564,0.0,0.0,0.0,0.0,0.0
1505429379799799652,-0.0236037708819,0.0,0.0,0.0,0.0,0.0
1505429379809850202,-0.0223590657115,0.0,0.0,0.0,0.0,0.0
1505429379819845836,-0.0211137998849,0.0,0.0,0.0,0.0,0.0
1505429379829791253,-0.0198680069298,0.0,0.0,0.0,0.0,0.0
1505429379841971361,-0.0186217166483,0.0,0.0,0.0,0.0,0.0
1505429379849837976,-0.0173749625683,0.0,0.0,0.0,0.0,0.0
1505429379859809619,-0.0161277726293,0.0,0.0,0.0,0.0,0.0
1505429379869865810,-0.0148801803589,0.0,0.0,0.0,0.0,0.0
1505429379880486699,-0.0136322155595,0.0,0.0,0.0,0.0,0.0
1505429379889821642,-0.012383909896,0.0,0.0,0.0,0.0,0.0
1505429379899796048,-0.0111352950335,0.0,0.0,0.0,0.0,0.0
