%time,field.data
1505429693252668069,1.0
1505429693292622695,0.0
1505429693348789919,1.0
1505429693423146964,0.0
1505429698181317657,1.0
1505429698216494934,0.0
1505429698246593854,1.0
1505429698311832656,0.0
1505429698507677094,1.0
1505429698543999481,0.0
1505429698573182091,1.0
1505429698608261672,0.0
1505429698636795158,1.0
1505429698703427231,0.0
1505429698770974478,1.0
1505429698833501814,0.0
1505429699063766745,1.0
1505429699120748529,0.0
1505429699346729662,1.0
1505429699386876040,0.0
1505429699463739041,1.0
1505429699487204967,0.0
1505429699512483042,1.0
1505429699589382697,0.0
1505429699613997056,1.0
1505429699653008501,0.0
1505429699719122674,1.0
1505429699739960709,0.0
1505429699880116407,1.0
1505429700005050628,0.0
1505429700044991787,1.0
1505429700065753219,0.0
1505429700097572409,1.0
1505429700132439380,0.0
1505429700201052605,1.0
1505429700332049842,0.0
1505429700364502633,1.0
1505429700464447350,0.0
1505429700564349216,1.0
1505429700592541866,0.0
1505429700624759669,1.0
1505429700697361891,0.0
1505429700723437707,1.0
1505429700758480761,0.0
1505429700853807573,1.0
1505429700888933257,0.0
1505429700920894317,1.0
1505429700958066885,0.0
1505429700984521261,1.0
1505429701014629491,0.0
1505429701050099239,1.0
1505429701074968259,0.0
1505429701246002627,1.0
1505429701276508087,0.0
1505429701539316295,1.0
1505429701567694347,0.0
1505429702063659834,1.0
1505429702097092175,0.0
1505429702133880734,1.0
1505429702155962237,0.0
1505429702252022209,1.0
1505429702279137576,0.0
1505429702612447380,1.0
1505429702642286143,0.0
1505429703496446577,1.0
1505429703549738183,0.0
1505429703617018437,1.0
1505429703717591953,0.0
1505429703745391413,1.0
1505429703822963505,0.0
1505429707862945657,1.0
1505429707952506912,0.0
1505429709164701749,1.0
1505429709268711100,0.0
1505429709299221794,1.0
1505429709334118719,0.0
1505429709364317968,1.0
1505429709399339269,0.0
1505429709429523718,1.0
1505429709498361060,0.0
1505429709886909930,1.0
1505429709918061784,0.0
1505429710008865567,1.0
1505429710082791676,0.0
1505429710137441229,1.0
1505429710178359615,0.0
1505429710339145104,1.0
1505429710369241594,0.0
1505429710434466360,1.0
1505429710603178695,0.0
1505429710635457770,1.0
1505429710761108408,0.0
1505429710794118244,1.0
1505429710896713216,0.0
1505429710962290635,1.0
1505429711022199695,0.0
1505429711149135077,1.0
1505429711183060924,0.0
1505429711342323094,1.0
1505429711412070165,0.0
1505429711580276450,1.0
1505429711646204017,0.0
1505429711810892520,1.0
1505429711878140095,0.0
1505429711906813620,1.0
1505429711976940203,0.0
1505429712002140934,1.0
1505429712075285647,0.0
1505429712233424429,1.0
1505429712268048175,0.0
1505429712293813711,1.0
1505429712365405283,0.0
1505429712745548612,1.0
1505429712820843006,0.0
1505429712965850503,1.0
1505429712982089931,0.0
1505429713006617485,1.0
1505429713247660594,0.0
1505429713308470567,1.0
1505429713602450211,0.0
1505429713639616107,1.0
1505429713699931353,0.0
1505429713765369602,1.0
1505429713798829313,0.0
1505429714288079657,1.0
1505429714317997493,0.0
1505429714798947046,1.0
1505429714840239694,0.0
1505429714867693881,1.0
1505429714905643589,0.0
1505429715297677061,1.0
1505429715398107058,0.0
1505429715453359342,1.0
1505429715488244348,0.0
1505429715561711166,1.0
1505429715593966518,0.0
1505429715758035649,1.0
1505429715793569591,0.0
1505429715810020898,1.0
1505429715860677711,0.0
1505429715915868070,1.0
1505429716135346476,0.0
1505429716242812064,1.0
1505429716277325861,0.0
1505429716307523511,1.0
1505429716337719656,0.0
1505429716402938014,1.0
1505429716533537270,0.0
1505429716568557583,1.0
1505429716670663455,0.0
1505429716703353614,1.0
1505429716730307648,0.0
1505429716766371128,1.0
1505429716830119342,0.0
1505429716862262390,1.0
1505429717068000179,0.0
1505429717093678078,1.0
1505429717224262823,0.0
1505429717278896061,1.0
1505429717483920837,0.0
1505429717513150776,1.0
1505429717618697942,0.0
1505429717714927532,1.0
1505429717965559168,0.0
1505429718040603284,1.0
1505429718101731548,0.0
1505429718131886204,1.0
1505429718166300304,0.0
1505429718231577804,1.0
1505429718297267279,0.0
1505429718336146349,1.0
1505429718362127384,0.0
1505429718393430713,1.0
1505429718427627968,0.0
1505429718558620768,1.0
1505429718625263878,0.0
1505429718691691301,1.0
1505429718819430307,0.0
1505429718850124955,1.0
1505429718916827430,0.0
1505429718944915451,1.0
1505429719004185784,0.0
1505429719176683395,1.0
1505429719271568413,0.0
1505429719310490092,1.0
1505429719397266863,0.0
1505429719502669734,1.0
1505429719567937817,0.0
1505429719899703122,1.0
1505429719919606253,0.0
1505429719958667348,1.0
1505429720026557078,0.0
1505429720060284571,1.0
1505429720091671391,0.0
1505429720251459504,1.0
1505429720311611474,0.0
1505429720350282490,1.0
1505429720417307212,0.0
1505429720475066387,1.0
1505429720574919375,0.0
1505429720648216792,1.0
1505429720804119661,0.0
1505429720845335544,1.0
1505429720869030873,0.0
1505429720957954875,1.0
1505429720970759939,0.0
1505429721139453248,1.0
1505429721165844048,0.0
1505429721230944929,1.0
1505429721326237735,0.0
1505429721624352270,1.0
1505429721681747344,0.0
1505429721725014765,1.0
1505429721778597490,0.0
1505429721826873853,1.0
1505429721922447113,0.0
1505429721975892226,1.0
1505429722115103472,0.0
1505429722263830711,1.0
1505429722398866018,0.0
1505429722471922998,1.0
1505429722501972731,0.0
1505429722597837458,1.0
1505429722662845824,0.0
1505429722725762904,1.0
1505429722763319708,0.0
1505429722798465455,1.0
1505429722828648768,0.0
1505429722858306472,1.0
1505429722890513527,0.0
1505429722959676098,1.0
1505429722989553731,0.0
1505429723024781283,1.0
1505429723090841470,0.0
1505429723218001884,1.0
1505429723250554141,0.0
1505429723293804039,1.0
1505429723351305476,0.0
1505429723512286554,1.0
1505429723534765068,0.0
1505429723577356178,1.0
1505429723601189845,0.0
1505429723677631271,1.0
1505429723730595768,0.0
1505429723842073497,1.0
1505429723876612773,0.0
1505429723904300405,1.0
1505429723926648133,0.0
1505429724008300146,1.0
1505429724036989710,0.0
1505429724265317344,1.0
1505429724300512813,0.0
1505429724362575098,1.0
1505429724392090865,0.0
1505429724451764369,1.0
1505429724491292166,0.0
1505429724557077339,1.0
1505429724597128810,0.0
1505429724625300653,1.0
1505429724717626467,0.0
1505429724808246287,1.0
1505429724860491548,0.0
1505429725241245902,1.0
1505429725270381961,0.0
1505429725305307406,1.0
1505429725340528393,0.0
1505429725632083584,1.0
1505429725663212660,0.0
1505429725697379425,1.0
1505429725723592996,0.0
1505429725762455988,1.0
1505429725898933688,0.0
1505429726025179880,1.0
1505429726114343553,0.0
1505429726156114923,1.0
1505429726246315972,0.0
1505429726295594624,1.0
1505429726422718585,0.0
1505429726450893217,1.0
1505429726524123710,0.0
1505429726533671107,1.0
1505429726581347511,0.0
1505429726611972192,1.0
1505429726646773173,0.0
1505429726743209057,1.0
1505429726940103066,0.0
1505429726991231564,1.0
1505429727061238640,0.0
1505429727103719132,1.0
1505429727126645177,0.0
1505429727163987449,1.0
1505429727259555342,0.0
1505429727330021487,1.0
1505429727420622368,0.0
1505429727591165303,1.0
1505429727728236494,0.0
1505429727847605285,1.0
1505429727889682978,0.0
1505429727912709091,1.0
1505429727942830435,0.0
1505429727978255148,1.0
1505429728013555356,0.0
1505429728043368104,1.0
1505429728108583674,0.0
1505429728138917653,1.0
1505429728175177115,0.0
1505429728209180041,1.0
1505429728239147317,0.0
1505429728307888969,1.0
1505429728364692284,0.0
1505429728400540766,1.0
1505429728430301046,0.0
1505429728560748266,1.0
1505429728601361264,0.0
1505429728666173719,1.0
1505429728726827776,0.0
1505429728796900621,1.0
1505429728832009998,0.0
1505429728982754893,1.0
1505429729021726905,0.0
1505429729061238278,1.0
1505429729090636125,0.0
1505429729160925134,1.0
1505429729188843072,0.0
1505429729260252584,1.0
1505429729314416562,0.0
1505429729357011731,1.0
1505429729480097044,0.0
1505429729535554820,1.0
1505429729576996055,0.0
1505429729600674210,1.0
1505429729640746160,0.0
1505429729841832295,1.0
1505429729873881781,0.0
1505429729972584755,1.0
1505429730003284184,0.0
1505429730028192441,1.0
1505429730067794751,0.0
1505429730293949506,1.0
1505429730316860215,0.0
1505429730556047476,1.0
1505429730585536492,0.0
1505429730620356539,1.0
1505429730650683500,0.0
1505429730938312368,1.0
1505429730977234541,0.0
1505429734304193414,1.0
1505429734373441500,0.0
1505429734403515980,1.0
1505429734498865468,0.0
1505429734564263720,1.0
1505429734599151734,0.0
1505429734629693173,1.0
1505429734718729301,0.0
1505429734759845849,1.0
1505429734793134378,0.0
1505429734860729661,1.0
1505429734891237377,0.0
1505429734969215426,1.0
1505429735061015893,0.0
1505429735222274443,1.0
1505429735253669938,0.0
1505429735321895240,1.0
1505429735347920383,0.0
1505429735414596134,1.0
1505429735443014418,0.0
1505429735513657720,1.0
1505429735609238754,0.0
1505429735674365967,1.0
1505429735704578177,0.0
1505429735988874985,1.0
1505429736188054032,0.0
1505429736316346357,1.0
1505429736360622851,0.0
1505429736491142684,1.0
1505429736592083290,0.0
1505429736881009048,1.0
1505429736905234051,0.0
1505429737337617743,1.0
1505429737370188952,0.0
1505429737520815335,1.0
1505429737598123251,0.0
1505429737654720470,1.0
1505429737691482925,0.0
1505429737794976950,1.0
1505429737829548038,0.0
1505429738056388037,1.0
1505429738086451482,0.0
1505429738146163975,1.0
1505429738221431499,0.0
1505429738246636223,1.0
1505429738286994229,0.0
1505429738313153459,1.0
1505429738347094799,0.0
1505429738703965976,1.0
1505429738769285938,0.0
1505429738834493524,1.0
1505429738864637484,0.0
1505429738898489486,1.0
1505429738934836643,0.0
1505429739000134754,1.0
1505429739031863243,0.0
1505429739065534657,1.0
1505429739095529066,0.0
1505429739161017963,1.0
1505429739360287361,0.0
1505429739392306618,1.0
1505429739423991670,0.0
1505429739554344859,1.0
1505429739589231675,0.0
1505429739619338392,1.0
1505429739660588245,0.0
1505429739686531356,1.0
1505429739713548339,0.0
1505429739810486236,1.0
1505429739887391372,0.0
1505429739944834977,1.0
1505429739980080219,0.0
1505429740758614560,1.0
1505429740788701768,0.0
1505429740912120775,1.0
1505429740954869520,0.0
1505429741837210834,1.0
1505429741869098773,0.0
1505429749894997537,1.0
1505429750118449823,0.0
1505429750157030882,1.0
1505429750183832208,0.0
1505429750214032485,1.0
1505429750252123563,0.0
1505429750471504467,1.0
1505429750607895010,0.0
1505429750641184301,1.0
1505429750701484928,0.0
1505429750786691188,1.0
1505429751023397512,0.0
1505429751052597590,1.0
1505429751093075523,0.0
1505429751158470322,1.0
1505429751219370891,0.0
1505429751249897245,1.0
1505429751287881992,0.0
1505429751485553779,1.0
1505429751508083233,0.0
1505429751550102551,1.0
1505429751575485065,0.0
1505429751616851866,1.0
1505429751688852585,0.0
1505429751722559546,1.0
1505429751751627799,0.0
1505429751850323035,1.0
1505429751880968705,0.0
1505429751918164920,1.0
1505429751948999437,0.0
1505429751967521958,1.0
1505429752007786596,0.0
1505429752042662979,1.0
1505429752073123646,0.0
1505429752103097031,1.0
1505429752168638164,0.0
1505429752240736259,1.0
1505429752268782828,0.0
1505429752595572383,1.0
1505429752660584443,0.0
1505429752757127901,1.0
1505429752785633697,0.0
1505429753347587922,1.0
1505429753415176183,0.0
1505429753538369363,1.0
1505429753563315427,0.0
1505429753608989110,1.0
1505429753675476964,0.0
1505429754115792590,1.0
1505429754158153431,0.0
1505429754514870165,1.0
1505429754585324262,0.0
1505429754616888266,1.0
1505429754784494296,0.0
1505429754813787404,1.0
1505429754841182739,0.0
1505429754880202953,1.0
1505429754906842056,0.0
1505429754944552997,1.0
1505429754980611981,0.0
1505429755013406328,1.0
1505429755067784148,0.0
1505429755102897329,1.0
1505429755140965033,0.0
1505429755167839425,1.0
1505429755203063067,0.0
1505429755430290327,1.0
1505429755583540730,0.0
1505429755828944982,1.0
1505429755860894155,0.0
1505429756077195894,1.0
1505429756105134687,0.0
1505429756218502667,1.0
1505429756248178635,0.0
1505429756447066266,1.0
1505429756473997818,0.0
1505429756499669977,1.0
1505429756539820416,0.0
1505429756569746676,1.0
1505429756641142307,0.0
1505429756735471830,1.0
1505429756766864756,0.0
1505429756896854769,1.0
1505429756931215257,0.0
1505429756966458867,1.0
1505429756991776753,0.0
1505429757058176335,1.0
1505429757092128434,0.0
1505429757223108641,1.0
1505429757258381682,0.0
1505429760222338600,1.0
1505429760248028693,0.0
1505429760582157905,1.0
1505429760614364283,0.0
1505429760679867928,1.0
1505429760714517933,0.0
1505429760749870394,1.0
1505429760845940353,0.0
1505429760878515107,1.0
1505429760905550410,0.0
1505429760978283269,1.0
1505429761006339863,0.0
1505429761333120357,1.0
1505429761367693977,0.0
1505429761397952188,1.0
1505429761433206368,0.0
1505429761563812667,1.0
1505429761582547643,0.0
1505429761887653081,1.0
1505429761933177869,0.0
1505429762747500842,1.0
1505429762769407845,0.0
1505429763154094594,1.0
1505429763161395357,0.0
1505429763185200345,1.0
1505429763221965968,0.0
1505429763256920781,1.0
1505429763352470214,0.0
1505429763388073584,1.0
1505429763424094926,0.0
1505429763549556208,1.0
1505429763643699990,0.0
1505429763679876333,1.0
1505429763714627767,0.0
1505429763877510410,1.0
1505429763944141266,0.0
1505429763979968246,1.0
1505429764031742606,0.0
1505429764071094153,1.0
1505429764100978551,0.0
1505429764126253965,1.0
1505429764161177824,0.0
1505429764267417798,1.0
1505429764297066347,0.0
1505429764320784435,1.0
1505429764397609526,0.0
1505429764646825613,1.0
1505429764689141999,0.0
1505429764711872380,1.0
1505429764784210658,0.0
1505429764854721334,1.0
1505429764886345506,0.0
1505429764915187319,1.0
1505429764955938774,0.0
1505429764987193294,1.0
1505429765013081431,0.0
1505429765318624776,1.0
1505429765355352008,0.0
1505429765799049386,1.0
1505429765829320066,0.0
1505429766055306126,1.0
1505429766128833426,0.0
1505429766452213562,1.0
1505429766485344666,0.0
1505429766548223958,1.0
1505429766572904193,0.0
1505429766612990055,1.0
1505429766644756591,0.0
1505429766744779690,1.0
1505429766815090377,0.0
1505429767010576260,1.0
1505429767047051528,0.0
1505429767984637651,1.0
1505429768019744694,0.0
1505429768145193356,1.0
1505429768245717556,0.0
1505429768380482050,1.0
1505429768408799257,0.0
1505429768502217678,1.0
1505429768537164204,0.0
1505429768575669214,1.0
1505429768632503447,0.0
1505429768700973009,1.0
1505429768728705589,0.0
1505429768798434499,1.0
1505429768931031866,0.0
1505429768983482590,1.0
1505429769024516505,0.0
1505429769150310484,1.0
1505429769177547859,0.0
1505429769220434046,1.0
1505429769356762369,0.0
1505429769415267319,1.0
1505429769446504326,0.0
1505429769510371074,1.0
1505429769647590975,0.0
1505429769720777353,1.0
1505429769750370079,0.0
1505429769813273424,1.0
1505429769842152840,0.0
1505429769875036720,1.0
1505429769908422019,0.0
1505429769946026607,1.0
1505429769970403681,0.0
1505429770042865061,1.0
1505429770099747642,0.0
1505429770365878117,1.0
1505429770391072131,0.0
1505429770492242761,1.0
1505429770591981911,0.0
1505429770639288786,1.0
1505429770687611241,0.0
1505429770726328527,1.0
1505429770795209814,0.0
1505429770818812771,1.0
1505429770911169090,0.0
1505429770975660754,1.0
1505429771079343208,0.0
1505429771532586028,1.0
1505429771561576300,0.0
1505429771633811056,1.0
1505429771674862463,0.0
1505429771833170437,1.0
1505429771863398240,0.0
1505429771959717951,1.0
1505429771981720999,0.0
1505429772124711307,1.0
1505429772320420360,0.0
1505429772420876606,1.0
1505429772446030887,0.0
1505429772612051674,1.0
1505429772677583504,0.0
1505429772844090628,1.0
1505429772874395621,0.0
1505429773709449082,1.0
1505429773752932024,0.0
1505429773812742409,1.0
1505429773844925750,0.0
1505429773888029754,1.0
1505429773953543516,0.0
1505429773974790041,1.0
1505429774149213312,0.0
1505429774174819811,1.0
1505429774209986493,0.0
1505429774365297826,1.0
1505429774462452565,0.0
1505429774541350448,1.0
1505429774566394770,0.0
1505429774607874772,1.0
1505429774898140196,0.0
1505429775028535632,1.0
1505429775053821126,0.0
1505429775154161654,1.0
1505429775254964755,0.0
1505429775676801805,1.0
1505429775703211843,0.0
1505429775774403859,1.0
1505429775837972622,0.0
1505429775907061936,1.0
1505429775933065631,0.0
1505429776091638519,1.0
1505429776140166154,0.0
1505429776460604466,1.0
1505429776490691118,0.0
1505429776591148098,1.0
1505429776621308233,0.0
1505429776651627709,1.0
1505429776721660441,0.0
