%time,field.data
1505434023566252755,1.0
1505434025598866804,0.0
1505434035276062650,1.0
1505434035341706285,0.0
1505434035371322781,1.0
1505434036687735373,0.0
1505434038208022582,1.0
1505434038243314649,0.0
1505434044107890066,1.0
1505434046742527177,0.0
1505434046790071273,1.0
1505434049586463677,0.0
1505434056413118582,1.0
1505434056600673311,0.0
1505434057835935892,1.0
1505434058719848443,0.0
1505434058781340561,1.0
1505434059432644807,0.0
1505434059504214181,1.0
1505434059955703680,0.0
1505434060020551858,1.0
1505434060964840878,0.0
1505434061005666422,1.0
1505434061491786511,0.0
1505434061526657256,1.0
1505434065699906213,0.0
1505434078344276365,1.0
1505434079519536570,0.0
1505434089503192662,1.0
1505434090186475234,0.0
1505434095400888180,1.0
1505434095727090644,0.0
